Data;Brazil;Argentina;Italy;Portugal;US;Uruguay
22/01/2020;0;0;0;0;1;0
23/01/2020;0;0;0;0;1;0
24/01/2020;0;0;0;0;2;0
25/01/2020;0;0;0;0;2;0
26/01/2020;0;0;0;0;5;0
27/01/2020;0;0;0;0;5;0
28/01/2020;0;0;0;0;5;0
29/01/2020;0;0;0;0;6;0
30/01/2020;0;0;0;0;6;0
31/01/2020;0;0;2;0;8;0
01/02/2020;0;0;2;0;8;0
02/02/2020;0;0;2;0;8;0
03/02/2020;0;0;2;0;11;0
04/02/2020;0;0;2;0;11;0
05/02/2020;0;0;2;0;11;0
06/02/2020;0;0;2;0;12;0
07/02/2020;0;0;3;0;12;0
08/02/2020;0;0;3;0;12;0
09/02/2020;0;0;3;0;12;0
10/02/2020;0;0;3;0;12;0
11/02/2020;0;0;3;0;13;0
12/02/2020;0;0;3;0;13;0
13/02/2020;0;0;3;0;14;0
14/02/2020;0;0;3;0;14;0
15/02/2020;0;0;3;0;14;0
16/02/2020;0;0;3;0;14;0
17/02/2020;0;0;3;0;14;0
18/02/2020;0;0;3;0;14;0
19/02/2020;0;0;3;0;14;0
20/02/2020;0;0;3;0;14;0
21/02/2020;0;0;20;0;16;0
22/02/2020;0;0;62;0;16;0
23/02/2020;0;0;155;0;16;0
24/02/2020;0;0;229;0;16;0
25/02/2020;0;0;322;0;16;0
26/02/2020;1;0;453;0;16;0
27/02/2020;1;0;655;0;17;0
28/02/2020;1;0;888;0;17;0
29/02/2020;2;0;1128;0;25;0
01/03/2020;2;0;1694;0;32;0
02/03/2020;2;0;2036;2;55;0
03/03/2020;2;1;2502;2;74;0
04/03/2020;4;1;3089;5;107;0
05/03/2020;4;1;3858;8;184;0
06/03/2020;13;2;4636;13;237;0
07/03/2020;13;8;5883;20;403;0
08/03/2020;20;12;7375;30;519;0
09/03/2020;25;12;9172;30;594;0
10/03/2020;31;17;10149;41;782;0
11/03/2020;38;19;12462;59;1147;0
12/03/2020;52;19;15113;59;1586;0
13/03/2020;151;31;17660;112;2219;4
14/03/2020;151;34;21157;169;2978;6
15/03/2020;162;45;24747;245;3212;8
16/03/2020;200;56;27980;331;4679;29
17/03/2020;321;68;31506;448;6512;50
18/03/2020;372;79;35713;448;9169;79
19/03/2020;621;97;41035;785;13663;94
20/03/2020;793;128;47021;1020;20030;110
21/03/2020;1021;158;53578;1280;26025;135
22/03/2020;1546;266;59138;1600;34944;158
23/03/2020;1924;301;63927;2060;46096;162
24/03/2020;2247;387;69176;2362;56714;189
25/03/2020;2554;387;74386;2995;68841;217
26/03/2020;2985;502;80589;3544;86662;238
27/03/2020;3417;589;86498;4268;105253;274
28/03/2020;3904;690;92472;5170;127417;303
29/03/2020;4256;745;97689;5962;143544;309
30/03/2020;4579;820;101739;6408;165698;320
31/03/2020;5717;1054;105792;7443;192079;338
01/04/2020;6836;1054;110574;8251;223254;350
02/04/2020;8044;1133;115242;9034;255530;369
03/04/2020;9056;1265;119827;9886;287931;386
04/04/2020;10360;1451;124632;10524;319776;400
05/04/2020;11130;1451;128948;11278;349016;406
06/04/2020;12161;1554;132547;11730;380798;415
07/04/2020;14034;1628;135586;12442;410834;424
08/04/2020;16170;1715;139422;13141;441897;456
09/04/2020;18092;1795;143626;13956;477507;473
10/04/2020;19638;1975;147577;15472;511790;494
11/04/2020;20727;1975;152271;15987;540714;501
12/04/2020;22192;2142;156363;16585;567022;480
13/04/2020;23430;2208;159516;16934;594165;483
14/04/2020;25262;2277;162488;17448;622493;492
15/04/2020;28320;2443;165155;18091;648390;493
16/04/2020;30425;2571;168941;18841;678028;502
17/04/2020;33682;2669;172434;19022;711135;508
18/04/2020;36658;2758;175925;19685;738464;517
19/04/2020;38654;2839;178972;20206;763886;528
20/04/2020;40743;2941;181228;20863;793970;535
21/04/2020;43079;3031;183957;21379;820045;543
22/04/2020;45757;3144;187327;21982;849926;549
23/04/2020;50036;3435;189973;22353;881891;557
24/04/2020;54043;3607;192994;22797;913856;563
25/04/2020;59324;3780;195351;23392;944770;596
26/04/2020;63100;3892;197675;23864;970741;606
27/04/2020;67446;4003;199414;24027;995391;620
28/04/2020;73235;4127;201505;24322;1019964;625
29/04/2020;79685;4285;203591;24505;1046816;630
30/04/2020;87187;4428;205463;25045;1076518;643
01/05/2020;92202;4532;207428;25351;1111410;648
02/05/2020;97100;4681;209328;25190;1138174;652
03/05/2020;101826;4783;210717;25282;1161907;655
04/05/2020;108620;4887;211938;25524;1185709;657
05/05/2020;115455;5020;213013;25702;1209728;670
06/05/2020;126611;5208;214457;26182;1234210;673
07/05/2020;135773;5371;215858;26715;1261949;684
08/05/2020;146894;5611;217185;27268;1289132;694
09/05/2020;156061;5776;218268;27406;1313586;702
10/05/2020;162699;6034;219070;27581;1332333;707
11/05/2020;169594;6278;219814;27679;1351410;711
12/05/2020;178214;6563;221216;27913;1374792;717
13/05/2020;190137;6879;222104;28132;1394807;719
14/05/2020;203165;7134;223096;28319;1420697;724
15/05/2020;220291;7479;223885;28583;1445548;732
16/05/2020;233511;7805;224760;28810;1469598;733
17/05/2020;241080;8068;225435;29036;1488327;734
18/05/2020;255368;8371;225886;29209;1510635;737
19/05/2020;271885;8809;226699;29432;1531138;738
20/05/2020;294624;9283;227364;29660;1553964;746
21/05/2020;312761;9931;228006;29912;1579116;749
22/05/2020;334568;10649;228658;30200;1602945;753
23/05/2020;351565;11353;229327;30471;1623134;764
24/05/2020;366033;12076;229858;30623;1643308;769
25/05/2020;378840;12628;230158;30788;1662402;787
26/05/2020;395167;13228;230555;31007;1681128;789
27/05/2020;415366;13933;231139;31292;1699891;803
28/05/2020;443703;14702;231732;31596;1721158;811
29/05/2020;470593;15419;232248;31946;1746240;816
30/05/2020;502914;16214;232664;32203;1769320;821
31/05/2020;516137;16851;232997;32500;1788239;823
01/06/2020;531286;17415;233197;32700;1806079;825
02/06/2020;562963;18319;233515;32895;1826169;826
03/06/2020;589048;19268;233836;33261;1845325;828
04/06/2020;621002;20197;234013;33592;1873259;832
05/06/2020;653103;21037;234531;33969;1899699;834
06/06/2020;676893;22020;234801;34351;1919968;845
07/06/2020;694881;22794;234998;34693;1937794;845
08/06/2020;712219;23620;235278;34885;1954694;845
09/06/2020;743917;24761;235561;35306;1975015;846
10/06/2020;777707;25987;235763;35600;1996733;847
11/06/2020;806399;27373;236142;35910;2019011;847
12/06/2020;830681;28764;236305;36180;2044569;847
13/06/2020;851911;30295;236651;36463;2068726;847
14/06/2020;868705;31577;236989;36690;2087627;848
15/06/2020;893322;32785;237290;37036;2108626;848
16/06/2020;930305;34159;237500;37336;2133175;849
17/06/2020;961230;35552;237828;37672;2160225;849
18/06/2020;986750;37510;238159;38089;2188452;850
19/06/2020;1042809;39570;238011;38464;2219506;853
20/06/2020;1106332;41204;238275;38841;2251332;859
21/06/2020;1086536;42785;238499;39133;2277168;876
22/06/2020;1114728;44931;238720;39392;2306969;882
23/06/2020;1154255;47203;238833;39737;2345698;885
24/06/2020;1195288;49851;239410;40104;2381949;902
25/06/2020;1236752;52457;239706;40415;2421248;907
26/06/2020;1281636;55343;239961;40866;2470294;919
27/06/2020;1318556;57744;240136;41189;2511048;924
28/06/2020;1351439;59933;240310;41646;2553973;929
29/06/2020;1372989;62268;240436;41912;2595268;932
30/06/2020;1412669;64530;240578;42141;2645091;936
01/07/2020;1459494;67197;240760;42454;2694214;943
02/07/2020;1503895;69941;240961;42782;2749157;947
03/07/2020;1546935;72786;241184;43156;2800661;952
04/07/2020;1580502;75376;241419;43569;2846606;955
05/07/2020;1605695;77815;241611;43897;2900334;956
06/07/2020;1630149;80447;241819;44129;2943499;960
07/07/2020;1676848;83426;241956;44416;3000730;965
08/07/2020;1722098;87030;242149;44859;3061036;974
09/07/2020;1765060;90693;242363;45277;3120692;977
10/07/2020;1809371;94060;242639;45679;3189551;985
11/07/2020;1844318;97509;242827;46221;3249990;986
12/07/2020;1867976;100166;243061;46512;3310122;987
13/07/2020;1890869;103265;243230;46818;3369486;989
14/07/2020;1933791;106910;243344;47051;3435148;997
15/07/2020;1973933;111146;243506;47426;3501174;1009
16/07/2020;2017616;114783;243736;47765;3571988;1026
17/07/2020;2052234;119301;243967;48077;3638460;1037
18/07/2020;2077987;122524;244216;48390;3702782;1044
19/07/2020;2101399;126755;244434;48636;3761714;1054
20/07/2020;2124152;130774;244624;48771;3822377;1064
21/07/2020;2171079;136118;244752;48898;3890571;1096
22/07/2020;2237229;141900;245032;49150;3958116;1117
23/07/2020;2294555;148027;245338;49379;4026002;1141
24/07/2020;2351458;153520;245590;49692;4101149;1166
25/07/2020;2398993;158334;245864;49955;4165349;1174
26/07/2020;2421666;162526;246118;50164;4221188;1192
27/07/2020;2449677;167416;246286;50299;4280912;1202
28/07/2020;2503681;173355;246488;50410;4345742;1218
29/07/2020;2559132;178996;246776;50613;4409870;1237
30/07/2020;2617187;185373;247158;50868;4479111;1243
31/07/2020;2670451;191302;247537;51072;4543687;1264
01/08/2020;2711992;196543;247832;51310;4601265;1278
02/08/2020;2736058;201919;248070;51463;4648374;1286
03/08/2020;2756164;206743;248229;51569;4690058;1291
04/08/2020;2812447;213535;248419;51681;4751715;1300
05/08/2020;2868616;220682;248803;51848;4806063;1309
06/08/2020;2922605;228195;249204;52061;4866243;1318
07/08/2020;2972008;235677;249756;52351;4926830;1325
08/08/2020;3018397;241811;250103;52537;4990763;1335
09/08/2020;3041127;246499;250566;52668;5045030;1353
10/08/2020;3067633;253868;250825;52825;5096647;1364
11/08/2020;3118153;260911;251237;52945;5153602;1385
12/08/2020;3173107;268574;251713;53223;5208846;1393
13/08/2020;3233820;276072;252235;53548;5260502;1409
